metric_code,period_label,year,school_year_start_year,education_level,source_publisher,indicator_code,value,data_status,break_flag
K1,SY1971–1972,1971,1971,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,28.58095,Official,
K1,SY1972–1973,1972,1972,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,28.3359,Official,
K1,SY1973–1974,1973,1973,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,28.00313,Official,
K1,SY1974–1975,1974,1974,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,28.061,Official,
K1,SY1975–1976,1975,1975,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,28.5924,Official,
K1,SY1976–1977,1976,1976,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,29.01752,Official,
K1,SY1977–1978,1977,1977,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,30.87913,Official,
K1,SY1978–1979,1978,1978,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,30.66521,Official,
K1,SY1980–1981,1980,1980,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,32.14948,Official,
K1,SY1981–1982,1981,1981,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,32.19058,Official,
K1,SY1982–1983,1982,1982,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,31.14637,Official,
K1,SY1983–1984,1983,1983,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,31.56999,Official,
K1,SY1984–1985,1984,1984,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,30.97276,Official,
K1,SY1985–1986,1985,1985,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,30.721,Official,
K1,SY1986–1987,1986,1986,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,30.85887,Official,
K1,SY1987–1988,1987,1987,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,31.45627,Official,
K1,SY1988–1989,1988,1988,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,31.84201,Official,
K1,SY1989–1990,1989,1989,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,33.00045,Official,
K1,SY1990–1991,1990,1990,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,32.66715,Official,
K1,SY1991–1992,1991,1991,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,32.8906,Official,
K1,SY1992–1993,1992,1992,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,33.41975,Official,
K1,SY1993–1994,1993,1993,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,33.67088,Official,
K1,SY1994–1995,1994,1994,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,33.46948,Official,
K1,SY1995–1996,1995,1995,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,33.73656,Official,
K1,SY1996–1997,1996,1996,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,34.47076,Official,
K1,SY1997–1998,1997,1997,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,34.72563,Official,
K1,SY1998–1999,1998,1998,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,34.47868,Official,
K1,SY1999–2000,1999,1999,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,34.69483,Official,
K1,SY2000–2001,2000,2000,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,35.31923,Official,
K1,SY2001–2002,2001,2001,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL.TC.ZS,35.20686,Official,
